emotional pain,anxiety,mood_swings,restlessness,lethargy,depression,,,,,,,
hair falling out,,,,,,,,,,,,
heart hurts,chest_pain,fast_heart_rate,,,,,,,,,,
infected wound,patches_in_throat,,,,,,,,,,,
foot ache,swollen_legs,painful_walking,,,,,,,,,,
shoulder pain,joint_pain,,,,,,,,,,,
injury from sports,cramps,bruising,,,,,,,,,,
skin issue,itching,skin_rash,nodal_skin_eruptions,yellowish_skin,puffy_face_and_eyes,enlarged_thyroid,internal_itching,red_spots_over_body,blackheads,skin_peeling,silver_like_dusting,
stomach ache,stomach_pain,acidity,ulcers_on_tongue,vomiting,indigestion,loss_of_appetite,abdominal_pain,diarrhoea,swelling_of_stomach,increased_appetite,,
knee pain,joint_pain,knee_pain,painful_walking,,,,,,,,,
joint pain,joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,,,,,,,
hard to breathe,breathlessness,nausea,,,,,,,,,,
head ache,headache,,,,,,,,,,,
body feels weak,fatigue,irregular_sugar_level,,sweating,dehydration,loss_of_appetite,weakness_in_limbs,excessive_hunger,loss_of_balance,unsteadiness,loss_of_smell,increased_appetite
feeling dizzy,fatigue,irregular_sugar_level,,loss_of_appetite,dizziness,excessive_hunger,loss_of_balance,unsteadiness,loss_of_smell,increased_appetite,,
back pain,back_pain,,,,,,,,,,,
open wound,bruising,,,,,,,,,,,
interanl pain,burning_micturition,spotting_ urination,acute_liver_failure,swelling_of_stomach,,cramps,bladder_discomfort,,,,,
blurry vision,sunken_eyes,pain_behind_the_eyes,yellowing_of_eyes,blurred_and_distorted_vision,redness_of_eyes,watering_from_eyes,visual_disturbances,,,,,
acne,pus_filled_pimples,blister,,,,,,,,,,
muscle pain,ulcers_on_tongue,muscle_wasting,muscle_weakness,stiff_neck,muscle_pain,,,,,,,
neck pain,neck_pain,enlarged_thyroid,stiff_neck,,,,,,,,,
cough,cough,,,,,,,,,,,
ear ache,,,,,,,,,,,,
feeling cold,continuous_sneezing,shivering,chills,cold_hands_and_feets,mild_fever,runny_nose,,,,,,
